fighter_1,fighter_2,result,weight_class,method,round,time,fight_link,event_url
Chris Leben,Luigi Fioravanti,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/44a79a250fdd61cd,http://ufcstats.com/event-details/b361180739bed4b0
Luke Cummo,Jason Von Flue,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3adae93bbf06287a,http://ufcstats.com/event-details/b361180739bed4b0
Jon Fitch,Joshua Burkman,win,Welterweight,SUB Rear Naked Choke,2,4:57,http://ufcstats.com/fight-details/eeb77732d7c3389a,http://ufcstats.com/event-details/b361180739bed4b0
Dan Christison,Brad Imes,win,Heavyweight,SUB Armbar,3,3:37,http://ufcstats.com/fight-details/fb1f1b0c9ef454dc,http://ufcstats.com/event-details/b361180739bed4b0
Josh Koscheck,Ansar Chalangov,win,Welterweight,SUB Rear Naked Choke,1,3:29,http://ufcstats.com/fight-details/622cada31f247f9a,http://ufcstats.com/event-details/b361180739bed4b0
Chael Sonnen,Trevor Prangley,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/fa193b3d07c0ed9b,http://ufcstats.com/event-details/b361180739bed4b0
Rich Franklin,David Loiseau,win,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/002cb1bb411c5f60,http://ufcstats.com/event-details/0e9869d712e81f8f
Mike Swick,Steve Vigneault,win,Middleweight,SUB Guillotine Choke,1,2:09,http://ufcstats.com/fight-details/f989a1acbda0e16a,http://ufcstats.com/event-details/0e9869d712e81f8f
Georges St-Pierre,BJ Penn,win,Welterweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/817c3b44517daa91,http://ufcstats.com/event-details/0e9869d712e81f8f
Nate Marquardt,Joe Doerksen,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/00dc5354794818a7,http://ufcstats.com/event-details/0e9869d712e81f8f
Mark Hominick,Yves Edwards,win,Lightweight,SUB Triangle Choke,2,1:52,http://ufcstats.com/fight-details/0cc225bf45697271,http://ufcstats.com/event-details/0e9869d712e81f8f
Sam Stout,Spencer Fisher,win,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/7ba640f8b70bc685,http://ufcstats.com/event-details/0e9869d712e81f8f
Jason Lambert,Rob MacDonald,win,Light Heavyweight,SUB Kimura,1,1:54,http://ufcstats.com/fight-details/7ca8095148c23b71,http://ufcstats.com/event-details/0e9869d712e81f8f
Tom Murphy,Icho Larenas,win,Heavyweight,KO/TKO Punches,3,1:59,http://ufcstats.com/fight-details/82a5e1bba6b843be,http://ufcstats.com/event-details/0e9869d712e81f8f
Chuck Liddell,Randy Couture,win,Light Heavyweight,KO/TKO Punch,2,1:28,http://ufcstats.com/fight-details/0e94e0a8c2130cea,http://ufcstats.com/event-details/977081bc01197656
Brandon Vera,Justin Eilers,win,Heavyweight,KO/TKO Kick,1,1:25,http://ufcstats.com/fight-details/235e4c69d5d945e8,http://ufcstats.com/event-details/977081bc01197656
Marcio Cruz,Frank Mir,win,Heavyweight,KO/TKO Punches,1,4:10,http://ufcstats.com/fight-details/44592a74cda71275,http://ufcstats.com/event-details/977081bc01197656
Renato Sobral,Mike van Arsdale,win,Light Heavyweight,SUB Rear Naked Choke,1,2:21,http://ufcstats.com/fight-details/357f438c15e1326f,http://ufcstats.com/event-details/977081bc01197656
Joe Riggs,Nick Diaz,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d9499d55f9f53112,http://ufcstats.com/event-details/977081bc01197656
Alessio Sakara,Elvis Sinosic,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/14850f48b2bede47,http://ufcstats.com/event-details/977081bc01197656
Paul Buentello,Gilbert Aldana,win,Heavyweight,KO/TKO Punches,2,2:27,http://ufcstats.com/fight-details/bb5ceaf835c0bb18,http://ufcstats.com/event-details/977081bc01197656
Jeff Monson,Branden Lee Hinkle,win,Heavyweight,SUB North-South Choke,1,4:35,http://ufcstats.com/fight-details/d49bc8e4e5613614,http://ufcstats.com/event-details/977081bc01197656
Keith Jardine,Mike Whitehead,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a63ed5d48f00ad18,http://ufcstats.com/event-details/977081bc01197656
Tim Sylvia,Assuerio Silva,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/537012aa6fb20f00,http://ufcstats.com/event-details/2ee09ec2a0695eb9
Stephan Bonnar,James Irvin,win,Light Heavyweight,SUB Kimura,1,4:30,http://ufcstats.com/fight-details/bd5afec6940c5d32,http://ufcstats.com/event-details/2ee09ec2a0695eb9
Joshua Burkman,Drew Fickett,win,Welterweight,SUB Guillotine Choke,1,1:07,http://ufcstats.com/fight-details/fbd75b08f377d149,http://ufcstats.com/event-details/2ee09ec2a0695eb9
Chris Leben,Jorge Rivera,win,Middleweight,KO/TKO Punch,1,1:44,http://ufcstats.com/fight-details/0582b78dc635301b,http://ufcstats.com/event-details/2ee09ec2a0695eb9
Josh Neer,Melvin Guillard,win,Welterweight,SUB Triangle Choke,1,4:20,http://ufcstats.com/fight-details/e55b69543aa74907,http://ufcstats.com/event-details/2ee09ec2a0695eb9
Duane Ludwig,Jonathan Goulet,win,Welterweight,KO/TKO Punch,1,0:06,http://ufcstats.com/fight-details/392089df68b1a721,http://ufcstats.com/event-details/2ee09ec2a0695eb9
Spencer Fisher,Aaron Riley,win,Welterweight,KO/TKO,1,5:00,http://ufcstats.com/fight-details/52125c3e41a1bd1e,http://ufcstats.com/event-details/2ee09ec2a0695eb9
Jason Von Flue,Alex Karalexis,win,Welterweight,SUB Von Flue Choke,3,1:17,http://ufcstats.com/fight-details/d0fcabb07a3e9500,http://ufcstats.com/event-details/2ee09ec2a0695eb9
Rich Franklin,Nate Quarry,win,Middleweight,KO/TKO Punch,1,2:34,http://ufcstats.com/fight-details/2dfda46cbc17bc99,http://ufcstats.com/event-details/c7e9d15cfce52f1d
Gabriel Gonzaga,Kevin Jordan,win,Heavyweight,KO/TKO Punch,3,4:39,http://ufcstats.com/fight-details/670db5afcb26df7c,http://ufcstats.com/event-details/c7e9d15cfce52f1d
Matt Hughes,Joe Riggs,win,Welterweight,SUB Kimura,1,3:28,http://ufcstats.com/fight-details/8062a7852a8b1560,http://ufcstats.com/event-details/c7e9d15cfce52f1d
Georges St-Pierre,Sean Sherk,win,Welterweight,KO/TKO Elbows,2,2:53,http://ufcstats.com/fight-details/388df822e50b04f8,http://ufcstats.com/event-details/c7e9d15cfce52f1d
Jeremy Horn,Trevor Prangley,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5f9d5ebe5ec28753,http://ufcstats.com/event-details/c7e9d15cfce52f1d
Sam Hoger,Jeff Newton,win,Light Heavyweight,SUB Rear Naked Choke,2,2:05,http://ufcstats.com/fight-details/84c510ab7e764598,http://ufcstats.com/event-details/c7e9d15cfce52f1d
Thiago Alves,Ansar Chalangov,win,Welterweight,KO/TKO Punches,1,2:25,http://ufcstats.com/fight-details/678af75cb4c155a9,http://ufcstats.com/event-details/c7e9d15cfce52f1d
Nick Thompson,Keith Wisniewski,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/57b5e8bda9447b77,http://ufcstats.com/event-details/c7e9d15cfce52f1d
Diego Sanchez,Nick Diaz,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2eb9b36c09c00d69,http://ufcstats.com/event-details/31ceaf0e670c1578
Rashad Evans,Brad Imes,win,Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/c22f4a7540cffdda,http://ufcstats.com/event-details/31ceaf0e670c1578
Joe Stevenson,Luke Cummo,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e364cd5772cfd27c,http://ufcstats.com/event-details/31ceaf0e670c1578
Kenny Florian,Kit Cope,win,Welterweight,SUB Rear Naked Choke,2,0:37,http://ufcstats.com/fight-details/19646a0c8baee966,http://ufcstats.com/event-details/31ceaf0e670c1578
Joshua Burkman,Sammy Morgan,win,Welterweight,KO/TKO Slam,1,0:21,http://ufcstats.com/fight-details/e050c299ffa1f2d3,http://ufcstats.com/event-details/31ceaf0e670c1578
Melvin Guillard,Marcus Davis,win,Welterweight,KO/TKO,2,2:55,http://ufcstats.com/fight-details/f846fd001397db45,http://ufcstats.com/event-details/31ceaf0e670c1578
Keith Jardine,Kerry Schall,win,Heavyweight,KO/TKO Kicks,2,3:28,http://ufcstats.com/fight-details/39c4f4a1aff68189,http://ufcstats.com/event-details/31ceaf0e670c1578
Andrei Arlovski,Paul Buentello,win,Heavyweight,KO/TKO Punch,1,0:15,http://ufcstats.com/fight-details/1c45d0feab67364f,http://ufcstats.com/event-details/271fe91f4ba9d2c5
Branden Lee Hinkle,Sean Gannon,win,Heavyweight,KO/TKO Punches,1,4:14,http://ufcstats.com/fight-details/f8a90f8a7beaa330,http://ufcstats.com/event-details/271fe91f4ba9d2c5
Forrest Griffin,Elvis Sinosic,win,Light Heavyweight,KO/TKO Punches,1,3:30,http://ufcstats.com/fight-details/e917559aedf85a98,http://ufcstats.com/event-details/271fe91f4ba9d2c5
Renato Sobral,Chael Sonnen,win,Light Heavyweight,SUB Triangle Choke,2,1:20,http://ufcstats.com/fight-details/75926dd5b984aa06,http://ufcstats.com/event-details/271fe91f4ba9d2c5
Joe Riggs,Chris Lytle,win,Welterweight,KO/TKO,2,2:00,http://ufcstats.com/fight-details/f15be91b30b11e0c,http://ufcstats.com/event-details/271fe91f4ba9d2c5
Jorge Rivera,Dennis Hallman,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/06a75406d3dd5cfd,http://ufcstats.com/event-details/271fe91f4ba9d2c5
Marcio Cruz,Keigo Kunihara,win,Heavyweight,SUB Rear Naked Choke,2,1:02,http://ufcstats.com/fight-details/fea1931b041cc5ff,http://ufcstats.com/event-details/271fe91f4ba9d2c5
Alessio Sakara,Ron Faircloth,"nc


nc",Light Heavyweight,CNC,2,0:10,http://ufcstats.com/fight-details/2aa175f3ebffcdf2,http://ufcstats.com/event-details/271fe91f4ba9d2c5
David Loiseau,Evan Tanner,win,Middleweight,KO/TKO,2,4:15,http://ufcstats.com/fight-details/5521b9bb8f220993,http://ufcstats.com/event-details/efaf544314bb5c2e
Chris Leben,Edwin DeWees,win,Middleweight,SUB Armbar,1,3:26,http://ufcstats.com/fight-details/0731a4519d64df6d,http://ufcstats.com/event-details/efaf544314bb5c2e
Brandon Vera,Fabiano Scherner,win,Heavyweight,KO/TKO Knee,2,3:22,http://ufcstats.com/fight-details/6ddabf12abd6fe25,http://ufcstats.com/event-details/efaf544314bb5c2e
Drew Fickett,Josh Koscheck,win,Welterweight,SUB Rear Naked Choke,3,4:28,http://ufcstats.com/fight-details/f5cb6cbb09ee8a16,http://ufcstats.com/event-details/efaf544314bb5c2e
Spencer Fisher,Thiago Alves,win,Welterweight,SUB Triangle Choke,2,4:43,http://ufcstats.com/fight-details/926091425f88d038,http://ufcstats.com/event-details/efaf544314bb5c2e
Jon Fitch,Brock Larson,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5f2240d94375f907,http://ufcstats.com/event-details/efaf544314bb5c2e
Jonathan Goulet,Jay Hieron,win,Welterweight,KO/TKO,3,1:05,http://ufcstats.com/fight-details/c25a97523bf56e49,http://ufcstats.com/event-details/efaf544314bb5c2e
Chuck Liddell,Jeremy Horn,win,Light Heavyweight,KO/TKO Punches,4,2:46,http://ufcstats.com/fight-details/5a3fcd3d3a1e1c38,http://ufcstats.com/event-details/669a3cb6e394f515
Tim Sylvia,Tra Telligman,win,Heavyweight,KO/TKO Kick,1,4:59,http://ufcstats.com/fight-details/8a380b11aaf82c49,http://ufcstats.com/event-details/669a3cb6e394f515
Randy Couture,Mike van Arsdale,win,Light Heavyweight,SUB Anaconda Choke,3,0:52,http://ufcstats.com/fight-details/093ef5ab2081cf65,http://ufcstats.com/event-details/669a3cb6e394f515
Diego Sanchez,Brian Gassaway,win,Welterweight,KO/TKO Punches,2,1:56,http://ufcstats.com/fight-details/d250a9d1c602e266,http://ufcstats.com/event-details/669a3cb6e394f515
Georges St-Pierre,Frank Trigg,win,Welterweight,SUB Rear Naked Choke,1,4:09,http://ufcstats.com/fight-details/beaa6ae419b8c8c6,http://ufcstats.com/event-details/669a3cb6e394f515
Matt Lindland,Joe Doerksen,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/adc0b9c6afe76c23,http://ufcstats.com/event-details/669a3cb6e394f515
Trevor Prangley,Travis Lutter,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ee69302c232e0909,http://ufcstats.com/event-details/669a3cb6e394f515
James Irvin,Terry Martin,win,Light Heavyweight,KO/TKO Flying Knee,2,0:09,http://ufcstats.com/fight-details/42957e04417af1d8,http://ufcstats.com/event-details/669a3cb6e394f515
Nate Marquardt,Ivan Salaverry,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/fd2f0f36b1eb5f83,http://ufcstats.com/event-details/3f24c96753dbd9f9
Chris Leben,Patrick Cote,win,Middleweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/389b7ca84b333c4c,http://ufcstats.com/event-details/3f24c96753dbd9f9
Stephan Bonnar,Sam Hoger,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/994739f676c2105f,http://ufcstats.com/event-details/3f24c96753dbd9f9
Nate Quarry,Pete Sell,win,Middleweight,KO/TKO Punches,1,0:42,http://ufcstats.com/fight-details/bf1525f9761a116e,http://ufcstats.com/event-details/3f24c96753dbd9f9
Josh Koscheck,Pete Spratt,win,Welterweight,SUB Rear Naked Choke,1,1:53,http://ufcstats.com/fight-details/44e4a1caae180261,http://ufcstats.com/event-details/3f24c96753dbd9f9
Mike Swick,Gideon Ray,win,Middleweight,KO/TKO Punches,1,0:22,http://ufcstats.com/fight-details/b2f604f2332cd8af,http://ufcstats.com/event-details/3f24c96753dbd9f9
Kenny Florian,Alex Karalexis,win,Welterweight,KO/TKO,2,2:52,http://ufcstats.com/fight-details/c2c000a37a89b82f,http://ufcstats.com/event-details/3f24c96753dbd9f9
Drew Fickett,Josh Neer,win,Welterweight,SUB Rear Naked Choke,1,1:35,http://ufcstats.com/fight-details/7acca0910edd7023,http://ufcstats.com/event-details/3f24c96753dbd9f9
Andrei Arlovski,Justin Eilers,win,Heavyweight,KO/TKO Punches,1,4:10,http://ufcstats.com/fight-details/a507bfa374885a25,http://ufcstats.com/event-details/d3711d3784b76255
Karo Parisyan,Matt Serra,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d80b07269dd36aad,http://ufcstats.com/event-details/d3711d3784b76255
Rich Franklin,Evan Tanner,win,Middleweight,KO/TKO,4,3:25,http://ufcstats.com/fight-details/98cc8f5dd64895c4,http://ufcstats.com/event-details/d3711d3784b76255
Forrest Griffin,Bill Mahood,win,Light Heavyweight,SUB Rear Naked Choke,1,2:18,http://ufcstats.com/fight-details/ea8b1a909155b0c2,http://ufcstats.com/event-details/d3711d3784b76255
Paul Buentello,Kevin Jordan,win,Heavyweight,SUB Neck Crank,1,4:00,http://ufcstats.com/fight-details/fb252c420e9830cd,http://ufcstats.com/event-details/d3711d3784b76255
Nate Quarry,Shonie Carter,win,Middleweight,KO/TKO Punches,1,2:37,http://ufcstats.com/fight-details/ca3230227ee700b7,http://ufcstats.com/event-details/d3711d3784b76255
David Loiseau,Charles McCarthy,win,Middleweight,KO/TKO Spinning Back Kick,2,2:10,http://ufcstats.com/fight-details/e5261884b0a0ed39,http://ufcstats.com/event-details/d3711d3784b76255
Nick Diaz,Koji Oishi,win,Welterweight,KO/TKO Punch,1,1:24,http://ufcstats.com/fight-details/07886c772e37d5de,http://ufcstats.com/event-details/d3711d3784b76255
Chuck Liddell,Randy Couture,win,Light Heavyweight,KO/TKO Punch,1,2:06,http://ufcstats.com/fight-details/2ae8623ef4156105,http://ufcstats.com/event-details/c933d423ebdbbbdb
Renato Sobral,Travis Wiuff,win,Light Heavyweight,SUB Armbar,2,0:24,http://ufcstats.com/fight-details/cb8e91f8b9f0e24f,http://ufcstats.com/event-details/c933d423ebdbbbdb
Matt Hughes,Frank Trigg,win,Welterweight,SUB Rear Naked Choke,1,4:05,http://ufcstats.com/fight-details/b1b66441acc5e8df,http://ufcstats.com/event-details/c933d423ebdbbbdb
Matt Lindland,Travis Lutter,win,Middleweight,SUB Guillotine Choke,2,3:13,http://ufcstats.com/fight-details/36dbc3cee586e53d,http://ufcstats.com/event-details/c933d423ebdbbbdb
Georges St-Pierre,Jason Miller,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f4e6f8223d0816fe,http://ufcstats.com/event-details/c933d423ebdbbbdb
Ivan Salaverry,Joe Riggs,win,Middleweight,SUB Triangle Choke,1,2:42,http://ufcstats.com/fight-details/5d72fa4562b13f7b,http://ufcstats.com/event-details/c933d423ebdbbbdb
Joe Doerksen,Patrick Cote,win,Middleweight,SUB Rear Naked Choke,3,2:35,http://ufcstats.com/fight-details/026e64f70e319e00,http://ufcstats.com/event-details/c933d423ebdbbbdb
Mike van Arsdale,John Marsh,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5e1b0e52d2bb1b5c,http://ufcstats.com/event-details/c933d423ebdbbbdb
Rich Franklin,Ken Shamrock,win,Light Heavyweight,KO/TKO Punches,1,2:42,http://ufcstats.com/fight-details/c50a3025d1519fc8,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Forrest Griffin,Stephan Bonnar,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4705a4db0bf1edcd,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Diego Sanchez,Kenny Florian,win,Middleweight,KO/TKO Punches,1,2:49,http://ufcstats.com/fight-details/d172d88fbeb8c6a8,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Sam Hoger,Bobby Southworth,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ddb950831580a5fe,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Chris Leben,Jason Thacker,win,Middleweight,KO/TKO Punches,1,1:35,http://ufcstats.com/fight-details/a3b268798d3ab216,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Josh Koscheck,Chris Sanford,win,Middleweight,KO/TKO Punches,1,4:21,http://ufcstats.com/fight-details/61733e5f00f4e194,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Nate Quarry,Lodune Sincaid,win,Middleweight,KO/TKO Punches,1,3:17,http://ufcstats.com/fight-details/f434775e97920d95,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Mike Swick,Alex Schoenauer,win,Middleweight,KO/TKO Punch,1,0:20,http://ufcstats.com/fight-details/74f757bacb86a71c,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Alex Karalexis,Josh Rafferty,win,Welterweight,KO/TKO Punches,1,1:40,http://ufcstats.com/fight-details/17affee2c796c225,http://ufcstats.com/event-details/fbbde91f7bc2d3c5
Tito Ortiz,Vitor Belfort,win,Light Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/4fb2c181e8fd5910,http://ufcstats.com/event-details/85d905f7c4f5a1af
Pete Sell,Phil Baroni,win,Middleweight,SUB Guillotine Choke,3,4:19,http://ufcstats.com/fight-details/987b6b4f7825e40e,http://ufcstats.com/event-details/85d905f7c4f5a1af
Andrei Arlovski,Tim Sylvia,win,Heavyweight,SUB Ankle Lock,1,0:47,http://ufcstats.com/fight-details/dae856cb00cf5163,http://ufcstats.com/event-details/85d905f7c4f5a1af
Evan Tanner,David Terrell,win,Middleweight,KO/TKO Punches,1,4:35,http://ufcstats.com/fight-details/7cfc8649d07b704c,http://ufcstats.com/event-details/85d905f7c4f5a1af
Paul Buentello,Justin Eilers,win,Heavyweight,KO/TKO Punches,1,3:34,http://ufcstats.com/fight-details/c91ef06766009965,http://ufcstats.com/event-details/85d905f7c4f5a1af
Mike Kyle,James Irvin,win,Heavyweight,KO/TKO Punch,1,1:55,http://ufcstats.com/fight-details/48189cad0c11ff63,http://ufcstats.com/event-details/85d905f7c4f5a1af
David Loiseau,Gideon Ray,win,Middleweight,KO/TKO,1,5:00,http://ufcstats.com/fight-details/e30780438191654f,http://ufcstats.com/event-details/85d905f7c4f5a1af
Karo Parisyan,Chris Lytle,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/45a52e065b73ecba,http://ufcstats.com/event-details/85d905f7c4f5a1af
Nick Diaz,Drew Fickett,win,Welterweight,KO/TKO Punches,1,4:40,http://ufcstats.com/fight-details/e8196de20c4a969a,http://ufcstats.com/event-details/85d905f7c4f5a1af
Tito Ortiz,Patrick Cote,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/9422b3caf780a995,http://ufcstats.com/event-details/ce783bf73b5131f9
Rich Franklin,Jorge Rivera,win,Middleweight,SUB Armbar,3,4:28,http://ufcstats.com/fight-details/b76a722dd429612e,http://ufcstats.com/event-details/ce783bf73b5131f9
Matt Hughes,Georges St-Pierre,win,Welterweight,SUB Armbar,1,4:59,http://ufcstats.com/fight-details/6f21a27075f0695c,http://ufcstats.com/event-details/ce783bf73b5131f9
Frank Trigg,Renato Verissimo,win,Welterweight,KO/TKO Elbows,2,2:11,http://ufcstats.com/fight-details/1a471a1bff47a960,http://ufcstats.com/event-details/ce783bf73b5131f9
Evan Tanner,Robbie Lawler,win,Middleweight,SUB Triangle Choke,1,2:22,http://ufcstats.com/fight-details/929fb67b49eaa405,http://ufcstats.com/event-details/ce783bf73b5131f9
Ivan Salaverry,Tony Fryklund,win,Middleweight,SUB Other - Lock,1,1:36,http://ufcstats.com/fight-details/0d15b14d1215c853,http://ufcstats.com/event-details/ce783bf73b5131f9
Travis Lutter,Marvin Eastman,win,Light Heavyweight,KO/TKO Punch,2,0:33,http://ufcstats.com/fight-details/dc9b52352dca15ef,http://ufcstats.com/event-details/ce783bf73b5131f9
Randy Couture,Vitor Belfort,win,Light Heavyweight,KO/TKO,3,5:00,http://ufcstats.com/fight-details/977e56ada4acc596,http://ufcstats.com/event-details/b4bc2e3353a770b5
Joe Riggs,Joe Doerksen,win,Middleweight,KO/TKO Elbows,2,3:39,http://ufcstats.com/fight-details/719f21fdb310fcfb,http://ufcstats.com/event-details/b4bc2e3353a770b5
Chuck Liddell,Vernon White,win,Light Heavyweight,KO/TKO Punch,1,4:05,http://ufcstats.com/fight-details/ebd51f898209c4c8,http://ufcstats.com/event-details/b4bc2e3353a770b5
David Terrell,Matt Lindland,win,Middleweight,KO/TKO Punch,1,0:24,http://ufcstats.com/fight-details/6e2254b4fd39ce40,http://ufcstats.com/event-details/b4bc2e3353a770b5
Justin Eilers,Mike Kyle,win,Heavyweight,KO/TKO Punch,1,1:14,http://ufcstats.com/fight-details/c74eef9b337602c6,http://ufcstats.com/event-details/b4bc2e3353a770b5
Chris Lytle,Ronald Jhun,win,Welterweight,SUB Guillotine Choke,2,1:17,http://ufcstats.com/fight-details/5db23cc876db1619,http://ufcstats.com/event-details/b4bc2e3353a770b5
Karo Parisyan,Nick Diaz,win,Welterweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/6996eb7755709945,http://ufcstats.com/event-details/b4bc2e3353a770b5
Yves Edwards,Josh Thomson,win,Lightweight,KO/TKO Kick,1,4:32,http://ufcstats.com/fight-details/c9c5b2507c6be9e3,http://ufcstats.com/event-details/b4bc2e3353a770b5
Ken Shamrock,Kimo Leopoldo,win,Heavyweight,KO/TKO Knee,1,1:26,http://ufcstats.com/fight-details/66eaf9f4a2cd67d8,http://ufcstats.com/event-details/429e7d3725852ce9
Frank Trigg,Dennis Hallman,win,Welterweight,KO/TKO Punches,1,4:15,http://ufcstats.com/fight-details/1201d192092baacf,http://ufcstats.com/event-details/429e7d3725852ce9
Frank Mir,Tim Sylvia,win,Heavyweight,SUB Armbar,1,0:50,http://ufcstats.com/fight-details/dffef4343e822399,http://ufcstats.com/event-details/429e7d3725852ce9
Matt Hughes,Renato Verissimo,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5261874c58322b46,http://ufcstats.com/event-details/429e7d3725852ce9
Evan Tanner,Phil Baroni,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/7014356795515aea,http://ufcstats.com/event-details/429e7d3725852ce9
Matt Serra,Ivan Menjivar,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/41222c4fab03d6f8,http://ufcstats.com/event-details/429e7d3725852ce9
Georges St-Pierre,Jay Hieron,win,Welterweight,KO/TKO Punches,1,1:42,http://ufcstats.com/fight-details/a40e421630b67e5c,http://ufcstats.com/event-details/429e7d3725852ce9
Trevor Prangley,Curtis Stout,win,Middleweight,SUB Scarf Hold,2,1:05,http://ufcstats.com/fight-details/5cbd93c68225a845,http://ufcstats.com/event-details/429e7d3725852ce9
Chuck Liddell,Tito Ortiz,win,Light Heavyweight,KO/TKO Punches,2,0:38,http://ufcstats.com/fight-details/2dbd0bc3e61ca00b,http://ufcstats.com/event-details/e8fb8e53bc2e29d6
Chris Lytle,Tiki Ghosn,win,Welterweight,SUB Bulldog Choke,2,1:55,http://ufcstats.com/fight-details/eecbc6c850e62d97,http://ufcstats.com/event-details/e8fb8e53bc2e29d6
Yves Edwards,Hermes Franca,win,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/268f0fcc45e1a6fe,http://ufcstats.com/event-details/e8fb8e53bc2e29d6
Andrei Arlovski,Wesley Correira,win,Heavyweight,KO/TKO Punches,2,1:15,http://ufcstats.com/fight-details/0f23c5569204a69b,http://ufcstats.com/event-details/e8fb8e53bc2e29d6
Nick Diaz,Robbie Lawler,win,Welterweight,KO/TKO Punch,2,1:31,http://ufcstats.com/fight-details/0374646197b8e0fa,http://ufcstats.com/event-details/e8fb8e53bc2e29d6
Mike Kyle,Wes Sims,win,Heavyweight,KO/TKO Punch,1,4:59,http://ufcstats.com/fight-details/3b8bfe14b0c297b2,http://ufcstats.com/event-details/e8fb8e53bc2e29d6
Jonathan Wiezorek,Wade Shipp,win,Heavyweight,KO/TKO Punches,1,4:40,http://ufcstats.com/fight-details/ba5e8c30d41559fd,http://ufcstats.com/event-details/e8fb8e53bc2e29d6
Genki Sudo,Mike Brown,win,Lightweight,SUB Triangle Choke,1,3:31,http://ufcstats.com/fight-details/1d9d91f78334129d,http://ufcstats.com/event-details/e8fb8e53bc2e29d6
Vitor Belfort,Randy Couture,win,Light Heavyweight,KO/TKO,1,0:49,http://ufcstats.com/fight-details/9cd343b9d5d87528,http://ufcstats.com/event-details/94609dd91731d428
Renato Verissimo,Carlos Newton,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/829146a45b3b236b,http://ufcstats.com/event-details/94609dd91731d428
BJ Penn,Matt Hughes,win,Welterweight,SUB Rear Naked Choke,1,4:39,http://ufcstats.com/fight-details/4076a87092da5bfa,http://ufcstats.com/event-details/94609dd91731d428
Frank Mir,Wes Sims,win,Heavyweight,KO/TKO Punch,2,4:21,http://ufcstats.com/fight-details/476548ca3d8cf0ee,http://ufcstats.com/event-details/94609dd91731d428
Lee Murray,Jorge Rivera,win,Middleweight,SUB Triangle Choke,1,1:45,http://ufcstats.com/fight-details/bee02eaf332eb7f1,http://ufcstats.com/event-details/94609dd91731d428
Georges St-Pierre,Karo Parisyan,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/1bc4996fa543a91a,http://ufcstats.com/event-details/94609dd91731d428
Josh Thomson,Hermes Franca,win,Lightweight,M-DEC,3,5:00,http://ufcstats.com/fight-details/fab7e4790b11de3c,http://ufcstats.com/event-details/94609dd91731d428
